epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.18,1.56339,1.00939,1.26563,0.38638,0.40434,0.36462,0.18258,1.77916,1.70525,1.42737,0.000662222,0.000662222,0.000662222
2,317.683,1.53355,1.01056,1.26108,0.77495,0.53947,0.64102,0.37498,1.53012,1.07805,1.30574,0.00130696,0.00130696,0.00130696
3,474.376,1.51952,0.9972,1.2584,0.74785,0.52351,0.61509,0.34791,1.57973,1.35772,1.35669,0.0019297,0.0019297,0.0019297
4,596.94,1.50076,0.95814,1.25038,0.79341,0.5625,0.68696,0.41604,1.419,0.96169,1.23881,0.001901,0.001901,0.001901
5,750.898,1.45957,0.92387,1.23277,0.78711,0.59521,0.71427,0.43274,1.39118,0.88072,1.20988,0.001868,0.001868,0.001868
6,902.549,1.42824,0.88976,1.21445,0.79955,0.60451,0.72241,0.4522,1.32335,0.83958,1.19318,0.001835,0.001835,0.001835
7,1048.26,1.40066,0.91455,1.1984,0.79361,0.61287,0.7265,0.44228,1.39629,0.85171,1.20222,0.001802,0.001802,0.001802
8,1172.49,1.40567,0.85518,1.19645,0.79462,0.62737,0.73416,0.46265,1.31405,0.81314,1.17811,0.001769,0.001769,0.001769
9,1325.27,1.38789,0.84368,1.18371,0.79765,0.63289,0.74919,0.47416,1.28572,0.77947,1.15567,0.001736,0.001736,0.001736
10,1478.63,1.38075,0.83533,1.18492,0.80338,0.6427,0.74996,0.47171,1.30264,0.782,1.16351,0.001703,0.001703,0.001703
11,1592.62,1.37015,0.82507,1.17945,0.79366,0.63358,0.74728,0.47818,1.2921,0.76923,1.15738,0.00167,0.00167,0.00167
12,1743.74,1.35311,0.81146,1.1731,0.80302,0.64135,0.75417,0.47526,1.29171,0.76936,1.16282,0.001637,0.001637,0.001637
13,1865.18,1.36066,0.81835,1.17177,0.81481,0.63958,0.75228,0.47863,1.28673,0.7717,1.15133,0.001604,0.001604,0.001604
14,2014.77,1.34624,0.8014,1.16833,0.81247,0.65415,0.76892,0.49047,1.26165,0.73887,1.1441,0.001571,0.001571,0.001571
15,2158.14,1.3356,0.79165,1.16366,0.81098,0.63386,0.75396,0.4832,1.2575,0.75052,1.14694,0.001538,0.001538,0.001538
16,2273.64,1.33331,0.78933,1.16049,0.81752,0.64049,0.75774,0.48905,1.25327,0.73958,1.14303,0.001505,0.001505,0.001505
17,2400.52,1.32859,0.78854,1.15646,0.80035,0.64835,0.75993,0.49058,1.25235,0.73725,1.13839,0.001472,0.001472,0.001472
18,2523.91,1.32246,0.7889,1.15558,0.81159,0.65669,0.76775,0.49639,1.25663,0.72067,1.13902,0.001439,0.001439,0.001439
19,2671.57,1.31147,0.77156,1.15226,0.81184,0.66394,0.77476,0.49951,1.24129,0.71275,1.1337,0.001406,0.001406,0.001406
20,2820.82,1.30613,0.76608,1.14871,0.81629,0.64943,0.76649,0.49423,1.24762,0.7303,1.13439,0.001373,0.001373,0.001373
21,2920.78,1.30644,0.76345,1.14735,0.81491,0.65952,0.77201,0.49957,1.23839,0.71197,1.13393,0.00134,0.00134,0.00134
22,3049.23,1.3103,0.76369,1.1502,0.81168,0.66644,0.77862,0.50435,1.22953,0.70134,1.12934,0.001307,0.001307,0.001307
23,3196.26,1.298,0.76169,1.14643,0.818,0.66721,0.78052,0.50568,1.2299,0.70094,1.13069,0.001274,0.001274,0.001274
24,3343.88,1.29552,0.75282,1.13939,0.83082,0.65744,0.77859,0.50369,1.23089,0.69965,1.12898,0.001241,0.001241,0.001241
25,3459.51,1.28743,0.74735,1.13851,0.81118,0.67498,0.78181,0.50669,1.22645,0.69051,1.12543,0.001208,0.001208,0.001208
26,3605.45,1.29588,0.75534,1.14031,0.81563,0.66415,0.78004,0.50585,1.22154,0.70191,1.12274,0.001175,0.001175,0.001175
27,3735.14,1.28968,0.74338,1.13873,0.8176,0.66376,0.77819,0.50749,1.23093,0.69474,1.1251,0.001142,0.001142,0.001142
28,3878.78,1.28086,0.73609,1.13198,0.8218,0.67424,0.78608,0.50973,1.22601,0.6841,1.11965,0.001109,0.001109,0.001109
29,4034.19,1.27676,0.73433,1.13046,0.82393,0.66821,0.78397,0.51267,1.20573,0.69141,1.11848,0.001076,0.001076,0.001076
30,4176.07,1.27364,0.72994,1.12743,0.82757,0.66902,0.78502,0.51186,1.21716,0.68194,1.11999,0.001043,0.001043,0.001043
31,4299.94,1.26809,0.72797,1.12321,0.822,0.67303,0.78489,0.51301,1.21363,0.67889,1.11735,0.00101,0.00101,0.00101
32,4447.48,1.26481,0.7238,1.12634,0.8208,0.6744,0.78696,0.51301,1.21032,0.67848,1.11754,0.000977,0.000977,0.000977
33,4590.63,1.26249,0.71943,1.12002,0.82214,0.66592,0.78215,0.51028,1.21568,0.6801,1.1171,0.000944,0.000944,0.000944
34,4714.89,1.25595,0.71673,1.11947,0.82427,0.67376,0.7884,0.51399,1.2131,0.66887,1.11955,0.000911,0.000911,0.000911
35,4813.63,1.25595,0.71771,1.11712,0.82739,0.67809,0.79221,0.5155,1.21561,0.66634,1.11597,0.000878,0.000878,0.000878
36,4949.13,1.25063,0.7072,1.11519,0.82824,0.67836,0.78988,0.51588,1.20706,0.66563,1.11504,0.000845,0.000845,0.000845
37,5053.09,1.2452,0.70355,1.10996,0.82679,0.67435,0.78987,0.51625,1.20416,0.66875,1.11119,0.000812,0.000812,0.000812
38,5187.7,1.24372,0.69916,1.11005,0.82166,0.68326,0.79182,0.51753,1.2033,0.66375,1.11402,0.000779,0.000779,0.000779
39,5325.19,1.23556,0.69508,1.10881,0.82135,0.67702,0.79044,0.51631,1.20907,0.66464,1.11566,0.000746,0.000746,0.000746
40,5449.1,1.23694,0.69674,1.11212,0.82479,0.67913,0.79149,0.51699,1.20865,0.66336,1.11516,0.000713,0.000713,0.000713
41,5569.96,1.23461,0.69401,1.10878,0.82109,0.68907,0.79241,0.51903,1.20403,0.65867,1.11171,0.00068,0.00068,0.00068
