epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.315,1.58574,1.03848,1.28546,0.7685,0.57303,0.6818,0.40117,1.48273,1.01133,1.29026,0.000660767,0.000660767,0.000660767
2,248.062,1.51381,0.96144,1.25594,0.6508,0.45109,0.52477,0.29574,1.63375,1.254,1.38187,0.00130553,0.00130553,0.00130553
3,322.789,1.52074,0.96783,1.26287,0.75814,0.51875,0.62442,0.35603,1.5694,1.42723,1.37608,0.00192829,0.00192829,0.00192829
4,390.12,1.49699,0.95075,1.2533,0.78449,0.57235,0.69431,0.41911,1.42003,1.0345,1.28955,0.001901,0.001901,0.001901
5,460.014,1.45278,0.91028,1.23103,0.7765,0.60123,0.71901,0.4499,1.33632,0.83968,1.22696,0.001868,0.001868,0.001868
6,526.577,1.43112,0.88891,1.22185,0.80004,0.61147,0.7341,0.44991,1.37,0.83691,1.23525,0.001835,0.001835,0.001835
7,591.321,1.41505,0.86716,1.21342,0.79281,0.62025,0.73459,0.4648,1.30097,0.81756,1.21885,0.001802,0.001802,0.001802
8,673.427,1.40165,0.84973,1.20083,0.80553,0.62472,0.7385,0.45965,1.34039,0.79413,1.21458,0.001769,0.001769,0.001769
9,761.225,1.39756,0.8466,1.20192,0.79167,0.64275,0.75148,0.47401,1.29611,0.77516,1.19947,0.001736,0.001736,0.001736
10,866.992,1.38712,0.83734,1.19658,0.80177,0.6435,0.75909,0.47755,1.29587,0.78454,1.19574,0.001703,0.001703,0.001703
11,973.965,1.37072,0.82471,1.18478,0.80141,0.64781,0.76157,0.48689,1.26077,0.74767,1.17944,0.00167,0.00167,0.00167
12,1072.3,1.36499,0.81394,1.17879,0.81579,0.6586,0.77148,0.48955,1.27114,0.74485,1.18061,0.001637,0.001637,0.001637
13,1180.09,1.36117,0.81528,1.18,0.79946,0.65997,0.7687,0.49155,1.26159,0.74253,1.18228,0.001604,0.001604,0.001604
14,1288.45,1.35211,0.80646,1.17962,0.80953,0.65464,0.76955,0.49641,1.2518,0.73088,1.17467,0.001571,0.001571,0.001571
15,1394.53,1.34383,0.79569,1.17104,0.81624,0.65757,0.77426,0.4993,1.24008,0.72916,1.16687,0.001538,0.001538,0.001538
16,1503.97,1.33546,0.79081,1.1696,0.80836,0.65895,0.77351,0.4994,1.24428,0.71361,1.16999,0.001505,0.001505,0.001505
17,1614.46,1.33253,0.78636,1.1638,0.81383,0.65598,0.77761,0.5015,1.23116,0.7263,1.16487,0.001472,0.001472,0.001472
18,1720.75,1.32614,0.78162,1.16423,0.81541,0.66007,0.77773,0.50182,1.23877,0.71382,1.16389,0.001439,0.001439,0.001439
19,1836.69,1.32136,0.7741,1.15917,0.81856,0.6591,0.77747,0.49923,1.24346,0.71517,1.16462,0.001406,0.001406,0.001406
20,1920.3,1.31622,0.77301,1.16055,0.81343,0.66548,0.77704,0.5022,1.23373,0.70175,1.16443,0.001373,0.001373,0.001373
21,2030.09,1.31058,0.76474,1.15464,0.81517,0.66957,0.78026,0.50787,1.2203,0.70267,1.15955,0.00134,0.00134,0.00134
22,2141.71,1.3077,0.75836,1.15155,0.81538,0.67043,0.78277,0.50433,1.24712,0.70631,1.16173,0.001307,0.001307,0.001307
23,2229.74,1.30758,0.75897,1.15309,0.81313,0.67467,0.78747,0.5098,1.23051,0.69464,1.15854,0.001274,0.001274,0.001274
24,2344.74,1.30091,0.75006,1.14801,0.82733,0.67073,0.78609,0.51162,1.21913,0.68681,1.1537,0.001241,0.001241,0.001241
25,2460.29,1.2934,0.75072,1.14561,0.8095,0.67561,0.78813,0.51386,1.2238,0.6822,1.15673,0.001208,0.001208,0.001208
26,2568.8,1.28811,0.74278,1.14369,0.81918,0.68307,0.79329,0.51459,1.21873,0.67563,1.15644,0.001175,0.001175,0.001175
27,2686.29,1.29646,0.74425,1.14728,0.81987,0.68434,0.79601,0.51522,1.21951,0.67971,1.15176,0.001142,0.001142,0.001142
28,2796.83,1.28725,0.73836,1.14054,0.82135,0.67823,0.79015,0.51621,1.20935,0.67892,1.14881,0.001109,0.001109,0.001109
29,2905.8,1.28252,0.73407,1.13665,0.82467,0.68543,0.79685,0.51848,1.21127,0.66885,1.14338,0.001076,0.001076,0.001076
30,3015.96,1.27969,0.73128,1.13634,0.81115,0.68041,0.79126,0.51662,1.20691,0.67773,1.14725,0.001043,0.001043,0.001043
